From	Usage	To	Weight	 	 
.chart.ChartMouseListener	uses	.chart.ChartMouseEvent	2		
.chart.ChartPanel	implements	.chart.event.ChartChangeListener	3		
.chart.ChartPanel	implements	.chart.event.ChartProgressListener	2		
.chart.ChartPanel	implements	.chart.event.OverlayChangeListener	3		
.chart.ChartPanel	contains	.chart.JFreeChart	39		
.chart.ChartPanel	contains	.chart.ChartRenderingInfo	21		
.chart.ChartPanel	contains	.chart.plot.PlotOrientation	11		
.chart.ChartPanel	uses	.chart.panel.Overlay	6		
.chart.ChartPanel	uses	.chart.plot.Plot	39		
.chart.ChartPanel	uses	.chart.event.ChartChangeEvent	1		
.chart.ChartPanel	uses	.chart.plot.Zoomable	29		
.chart.ChartPanel	uses	.chart.plot.PlotRenderingInfo	15		
.chart.ChartPanel	uses	.chart.event.OverlayChangeEvent	1		
.chart.ChartPanel	uses	.chart.util.ResourceBundleWrapper	1		
.chart.ChartPanel	uses	.chart.entity.ChartEntity	5		
.chart.ChartPanel	uses	.chart.entity.EntityCollection	8		
.chart.ChartPanel	uses	.chart.event.ChartProgressEvent	1		
.chart.ChartPanel	uses	.chart.editor.ChartEditor	2		
.chart.ChartPanel	uses	.chart.editor.ChartEditorManager	1		
.chart.ChartPanel	uses	.chart.ChartMouseListener	6		
.chart.ChartPanel	uses	.io.SerialUtilities	2		
.chart.ChartPanel	uses	.chart.ChartTransferable	2		
.chart.ChartPanel	uses	.chart.ChartMouseEvent	4		
.chart.ChartPanel	uses	.chart.plot.Pannable	7		
.chart.ChartPanel	uses	.ui.ExtensionFileFilter	2		
.chart.ChartPanel	uses	.chart.ChartUtilities	1		
.chart.ChartRenderingInfo	contains	.chart.plot.PlotRenderingInfo	7		
.chart.ChartRenderingInfo	contains	.chart.entity.EntityCollection	8		
.chart.ChartRenderingInfo	uses	.io.SerialUtilities	2		
.chart.ChartRenderingInfo	uses	.util.ObjectUtilities	1		
.chart.ChartRenderingInfo	uses	.chart.entity.StandardEntityCollection	2		
.chart.ChartRenderingInfo	uses	.util.PublicCloneable	2		
.chart.ChartTheme	uses	.chart.JFreeChart	1		
.chart.ChartTransferable	contains	.chart.JFreeChart	6		
.chart.ChartUtilities	uses	.chart.JFreeChart	22		
.chart.ChartUtilities	uses	.chart.ChartRenderingInfo	20		
.chart.ChartUtilities	uses	.chart.imagemap.StandardURLTagFragmentGenerator	4		
.chart.ChartUtilities	uses	.chart.imagemap.StandardToolTipTagFragmentGenerator	4		
.chart.ChartUtilities	uses	.chart.imagemap.ImageMapUtilities	4		
.chart.ChartUtilities	uses	.chart.imagemap.ToolTipTagFragmentGenerator	4		
.chart.ChartUtilities	uses	.chart.imagemap.URLTagFragmentGenerator	4		
.chart.ChartUtilities	uses	.chart.encoders.EncoderUtil	8		
.chart.ChartUtilities	uses	.chart.ChartTheme	2		
.chart.ChartUtilities	uses	.chart.ChartFactory	1		
.chart.ChartUtilities	uses	.chart.imagemap.OverLIBToolTipTagFragmentGenerator	2		
.chart.ClipPath	uses	.chart.axis.ValueAxis	3		
.chart.ClipPath	uses	.ui.RectangleEdge	3		
.chart.DrawableLegendItem	contains	.chart.LegendItem	4		
.chart.HashUtilities	uses	.util.StrokeList	2		
